date,epoch,open,high,low,close,volume,macd,rsi,sma10,sma20,instrumentId
2021-08-24 22:35:00,1629837300,1.17579,1.17581,1.17578,1.17579,19,4.9051170916136755e-06,46.19021979298579,1.1758479999999998,1.175824,CS.D.EURUSD.MINI.IP
2021-08-24 22:36:00,1629837360,1.1758,1.1758,1.17577,1.17579,9,1.648247296204275e-06,46.19021979298579,1.1758419999999998,1.175827,CS.D.EURUSD.MINI.IP
2021-08-24 22:37:00,1629837420,1.1758,1.1758,1.17577,1.1758,10,-1.95396711699658e-07,48.088024794546136,1.1758369999999998,1.17583,CS.D.EURUSD.MINI.IP
2021-08-24 22:38:00,1629837480,1.17579,1.1758,1.17578,1.17578,10,-3.073326953151323e-06,44.692988339774395,1.1758309999999998,1.1758314999999997,CS.D.EURUSD.MINI.IP
2021-08-24 22:39:00,1629837540,1.17579,1.17579,1.17566,1.17567,28,-1.3273651073175685e-05,31.514506410377606,1.1758029999999997,1.175825,CS.D.EURUSD.MINI.IP
2021-08-24 22:40:00,1629837600,1.17565,1.17565,1.17562,1.17563,16,-2.401210558766742e-05,28.25216294004484,1.1757769999999996,1.175817,CS.D.EURUSD.MINI.IP
2021-08-24 22:41:00,1629837660,1.17562,1.17564,1.17562,1.17562,8,-3.2860865452288834e-05,27.486112810641046,1.1757519999999997,1.1758085,CS.D.EURUSD.MINI.IP
2021-08-24 22:42:00,1629837720,1.17563,1.17576,1.17563,1.17575,27,-2.9770911385451626e-05,47.438713469330686,1.175744,1.175803,CS.D.EURUSD.MINI.IP
2021-08-24 22:43:00,1629837780,1.17576,1.17576,1.17575,1.17575,8,-2.7011541391397387e-05,47.438713469330686,1.1757360000000001,1.1757985,CS.D.EURUSD.MINI.IP
2021-08-24 22:44:00,1629837840,1.1758,1.17581,1.1758,1.17581,20,-2.0051600153836446e-05,54.18633377014173,1.175739,1.1757969999999998,CS.D.EURUSD.MINI.IP
2021-08-24 22:45:00,1629837900,1.17579,1.17586,1.17579,1.17585,41,-1.136850528338229e-05,58.05252961537462,1.1757450000000003,1.1757965,CS.D.EURUSD.MINI.IP
2021-08-24 22:46:00,1629837960,1.17586,1.17586,1.17584,1.17585,10,-4.444331534347867e-06,58.05252961537462,1.1757510000000004,1.1757965,CS.D.EURUSD.MINI.IP
2021-08-24 22:47:00,1629838020,1.17584,1.17585,1.17581,1.17582,19,-1.250256463247723e-06,54.08264950009252,1.1757530000000003,1.175795,CS.D.EURUSD.MINI.IP
2021-08-24 22:48:00,1629838080,1.17583,1.17583,1.17581,1.17583,19,2.0250762142737244e-06,55.18283039100159,1.1757580000000003,1.1757944999999999,CS.D.EURUSD.MINI.IP
2021-08-24 22:49:00,1629838140,1.17582,1.17585,1.17578,1.17584,51,5.32937290054214e-06,56.31016379720331,1.1757750000000002,1.175789,CS.D.EURUSD.MINI.IP
2021-08-24 22:50:00,1629838200,1.17585,1.17586,1.17583,1.17584,29,7.854818900643323e-06,56.31016379720331,1.1757960000000003,1.1757865,CS.D.EURUSD.MINI.IP
2021-08-24 22:51:00,1629838260,1.17579,1.17586,1.17579,1.17583,48,8.973180163129868e-06,54.71400597235392,1.1758170000000001,1.1757845000000002,CS.D.EURUSD.MINI.IP
2021-08-24 22:52:00,1629838320,1.17582,1.17584,1.17582,1.17582,21,8.975151505330459e-06,53.0932666435967,1.175824,1.1757840000000002,CS.D.EURUSD.MINI.IP
2021-08-24 22:53:00,1629838380,1.17583,1.17584,1.17582,1.17583,29,9.646652234795994e-06,54.543362293684034,1.175832,1.1757840000000002,CS.D.EURUSD.MINI.IP
2021-08-24 22:54:00,1629838440,1.17582,1.17584,1.17577,1.1758,38,7.738201688312074e-06,49.590400121521576,1.175831,1.175785,CS.D.EURUSD.MINI.IP
2021-08-24 22:55:00,1629838500,1.17578,1.17595,1.17578,1.17593,82,1.6247047171402684e-05,64.59427363728152,1.1758389999999999,1.1757920000000002,CS.D.EURUSD.MINI.IP
2021-08-24 22:56:00,1629838560,1.17594,1.17595,1.17589,1.1759,24,2.0390997119479337e-05,60.145351574849535,1.175844,1.1757975000000003,CS.D.EURUSD.MINI.IP
2021-08-24 22:57:00,1629838620,1.17592,1.17592,1.17584,1.17587,54,2.106510885280244e-05,55.99224262258831,1.175849,1.1758010000000003,CS.D.EURUSD.MINI.IP
2021-08-24 22:58:00,1629838680,1.17586,1.17592,1.1758,1.17584,76,1.9010102700667275e-05,52.11669724995733,1.17585,1.1758040000000003,CS.D.EURUSD.MINI.IP
2021-08-24 22:59:00,1629838740,1.17587,1.17593,1.17578,1.17589,87,2.1092984320958408e-05,57.40804138858538,1.1758549999999999,1.1758150000000003,CS.D.EURUSD.MINI.IP
2021-08-24 23:00:00,1629838800,1.17592,1.17597,1.17584,1.17597,10,2.874817061093715e-05,64.22072357391235,1.175868,1.1758320000000002,CS.D.EURUSD.MINI.IP
2021-08-24 23:01:00,1629838860,1.17594,1.17595,1.17593,1.17593,4,3.1278924695676835e-05,59.128126418423086,1.1758779999999998,1.1758475000000002,CS.D.EURUSD.MINI.IP
2021-08-24 23:02:00,1629838920,1.17584,1.17584,1.17583,1.17584,9,2.58371738470764e-05,49.59805829915451,1.1758799999999998,1.1758520000000003,CS.D.EURUSD.MINI.IP
2021-08-24 23:03:00,1629838980,1.17586,1.17588,1.17586,1.17586,8,2.285175193161848e-05,51.469966918573384,1.175883,1.1758575000000002,CS.D.EURUSD.MINI.IP
2021-08-24 23:05:00,1629839100,1.17592,1.17592,1.17586,1.17589,27,2.261315734619629e-05,54.216723589199354,1.175892,1.1758615000000003,CS.D.EURUSD.MINI.IP
2021-08-24 23:06:00,1629839160,1.17587,1.17592,1.17586,1.17589,31,2.216804256782723e-05,54.21672358919936,1.175888,1.1758635000000002,CS.D.EURUSD.MINI.IP
2021-08-24 23:07:00,1629839220,1.1759,1.17594,1.17586,1.17591,26,2.314327343500011e-05,56.13624734869866,1.1758890000000002,1.1758665000000001,CS.D.EURUSD.MINI.IP
2021-08-24 23:08:00,1629839280,1.1759,1.17593,1.17588,1.1759,33,2.2853844855674765e-05,54.89691091311148,1.1758920000000002,1.1758705,CS.D.EURUSD.MINI.IP
2021-08-24 23:09:00,1629839340,1.17592,1.17592,1.1758,1.17584,38,1.7627366525774235e-05,48.04336684945153,1.175892,1.175871,CS.D.EURUSD.MINI.IP
2021-08-24 23:10:00,1629839400,1.17583,1.17584,1.17579,1.1758,47,1.0170307328527528e-05,44.09138895534463,1.175883,1.175869,CS.D.EURUSD.MINI.IP
2021-08-24 23:11:00,1629839460,1.17579,1.17582,1.17575,1.17581,27,5.0034725522785095e-06,45.30274359381965,1.175867,1.1758674999999998,CS.D.EURUSD.MINI.IP
2021-08-24 23:12:00,1629839520,1.1758,1.17581,1.17576,1.17576,28,-3.0584805854605435e-06,40.5696162329963,1.17585,1.1758639999999998,CS.D.EURUSD.MINI.IP
2021-08-24 23:13:00,1629839580,1.17575,1.17581,1.17567,1.17573,48,-1.1715012384172496e-05,38.004015301685335,1.1758390000000003,1.1758594999999998,CS.D.EURUSD.MINI.IP
2021-08-24 23:14:00,1629839640,1.17575,1.17576,1.17564,1.17573,22,-1.836290944945418e-05,38.004015301685335,1.1758260000000003,1.1758544999999998,CS.D.EURUSD.MINI.IP
2021-08-24 23:16:00,1629839760,1.17583,1.17584,1.1758,1.17582,37,-1.6226810382935497e-05,49.184803822076574,1.1758190000000002,1.1758555,CS.D.EURUSD.MINI.IP
2021-08-24 23:17:00,1629839820,1.1758,1.17601,1.17562,1.17597,53,-2.4716637232469196e-06,61.61123555063885,1.175827,1.1758574999999998,CS.D.EURUSD.MINI.IP
2021-08-24 23:18:00,1629839880,1.17595,1.17602,1.17579,1.17584,36,-1.9822714436568134e-06,50.16225838736995,1.17582,1.1758545,CS.D.EURUSD.MINI.IP
